Zip Code,Sub District,District,Jenis,City,Regency
16840,Tanjungsari,,Kab.,Bekasi,Jawa Barat
16370,Tenjo,,Kab.,Bekasi,Jawa Barat
16670,Jasinga,,Kab.,Bekasi,Jawa Barat
16720,Ciawi,,Kab.,Bekasi,Jawa Barat
16720,Ciawi,,Kab.,Bekasi,Jawa Barat
16620,Ciampea,,Kab.,Bekasi,Jawa Barat
16969,Gunung Putri,,Kab.,Bekasi,Jawa Barat
16620,Ciampea,,Kab.,Bekasi,Jawa Barat
16660,Cigudeg,,Kab.,Bekasi,Jawa Barat
16968,Gunung Putri,,Kab.,Bekasi,Jawa Barat
16620,Ciampea,,Kab.,Bekasi,Jawa Barat
17340,Cibarusah,,Kab.,Bekasi,Jawa Barat
16840,Cariu,,Kab.,Bekasi,Jawa Barat
16810,Pamijahan,,Kab.,Bekasi,Jawa Barat
16620,Ciampea,,Kab.,Bekasi,Jawa Barat
16964,Gunung Putri,,Kab.,Bekasi,Jawa Barat
16810,Babakan Madang,,Kab.,Bekasi,Jawa Barat
16710,Sukaraja,,Kab.,Bekasi,Jawa Barat
16458,Tapos,,Kab.,Bekasi,Jawa Barat
16710,Sukaraja,,Kab.,Bekasi,Jawa Barat
16459,Tapos,,Kab.,Bekasi,Jawa Barat
16650,Nanggung,,Kab.,Bekasi,Jawa Barat
16914,Cibinong,,Kab.,Bekasi,Jawa Barat
16660,Sukajaya,,Kab.,Bekasi,Jawa Barat
16670,Jasinga,,Kab.,Bekasi,Jawa Barat
16451,Tapos,,Kab.,Bekasi,Jawa Barat
16820,Cileungsi,,Kab.,Bekasi,Jawa Barat
16660,Sukajaya,,Kab.,Bekasi,Jawa Barat
16810,Babakan Madang,,Kab.,Bekasi,Jawa Barat
17540,Kedung Waringin,,Kab.,Bekasi,Jawa Barat
17540,Kedung Waringin,,Kab.,Bekasi,Jawa Barat
17540,Kedung Waringin,,Kab.,Bekasi,Jawa Barat
16810,Babakan Madang,,Kab.,Bekasi,Jawa Barat
16960,Gunung Putri,,Kab.,Bekasi,Jawa Barat
16350,Rumpin,,Kab.,Bekasi,Jawa Barat
16750,Cisarua,,Kab.,Bekasi,Jawa Barat
16610,Ciomas,,Kab.,Bekasi,Jawa Barat
16770,Megamendung,,Kab.,Bekasi,Jawa Barat
16610,Ciomas,,Kab.,Bekasi,Jawa Barat
16730,Caringin,,Kab.,Bekasi,Jawa Barat
16820,Cileungsi,,Kab.,Bekasi,Jawa Barat
16770,Megamendung,,Kab.,Bekasi,Jawa Barat
16350,Rumpin,,Kab.,Bekasi,Jawa Barat
16610,Ciomas,,Kab.,Bekasi,Jawa Barat
16670,Jasinga,,Kab.,Bekasi,Jawa Barat
16730,Caringin,,Kab.,Bekasi,Jawa Barat
16710,Sukaraja,,Kab.,Bekasi,Jawa Barat
16340,Gunung Sindur,,Kab.,Bekasi,Jawa Barat
16680,Dramaga,,Kab.,Bekasi,Jawa Barat
16660,Cigudeg,,Kab.,Bekasi,Jawa Barat
16640,Leuwisadeng,,Kab.,Bekasi,Jawa Barat
16810,Babakan Madang,,Kab.,Bekasi,Jawa Barat
16640,Leuwisadeng,,Kab.,Bekasi,Jawa Barat
16680,Dramaga,,Kab.,Bekasi,Jawa Barat
16610,Tamansari,,Kab.,Bekasi,Jawa Barat
16110,Cigombong,,Kab.,Bekasi,Jawa Barat
17630,Sukatani,,Kab.,Bekasi,Jawa Barat
17620,Sukawangi,,Kab.,Bekasi,Jawa Barat
17630,Sukatani,,Kab.,Bekasi,Jawa Barat
17630,Sukatani,,Kab.,Bekasi,Jawa Barat
16840,Cariu,,Kab.,Bekasi,Jawa Barat
16610,Tamansari,,Kab.,Bekasi,Jawa Barat
16770,Megamendung,,Kab.,Bekasi,Jawa Barat
17630,Sukakarya,,Kab.,Bekasi,Jawa Barat
17630,Sukakarya,,Kab.,Bekasi,Jawa Barat
17620,Sukawangi,,Kab.,Bekasi,Jawa Barat
16610,Tamansari,,Kab.,Bekasi,Jawa Barat
16770,Megamendung,,Kab.,Bekasi,Jawa Barat
16610,Ciomas,,Kab.,Bekasi,Jawa Barat
16770,Megamendung,,Kab.,Bekasi,Jawa Barat
16610,Tamansari,,Kab.,Bekasi,Jawa Barat
17620,Sukawangi,,Kab.,Bekasi,Jawa Barat
16830,Sukamakmur,,Kab.,Bekasi,Jawa Barat
17630,Sukatani,,Kab.,Bekasi,Jawa Barat
16830,Jonggol,,Kab.,Bekasi,Jawa Barat
16710,Sukaraja,,Kab.,Bekasi,Jawa Barat
16660,Cigudeg,,Kab.,Bekasi,Jawa Barat
16840,Tanjungsari,,Kab.,Bekasi,Jawa Barat
17620,Sukawangi,,Kab.,Bekasi,Jawa Barat
16350,Rumpin,,Kab.,Bekasi,Jawa Barat
16454,Tapos,,Kab.,Bekasi,Jawa Barat
16830,Sukamakmur,,Kab.,Bekasi,Jawa Barat
16680,Dramaga,,Kab.,Bekasi,Jawa Barat
